fips,pa_tweets,diet_tweets,smoking_tweets,alcohol_tweets,sleep_tweets,total_tweets,leisure_prev,smoking_prev,binge_prev,sleep_prev,obesity_prev,diet_prevalence,pa_rate,diet_rate,smoking_rate,alcohol_rate,sleep_rate,state
04025,4171,698,127,1959,602,9258,23.0357,16.9,13.4548,28.081,27.7976,0.4304337655965632,0.4505292719809894,0.07539425361849211,0.013717865629725642,0.211600777705768,0.0650248433786995,04
04027,7805,1593,283,2975,1884,17445,29.2755,16.9623,14.0453,35.4264,37.8226,0.3506184827426286,0.4474061335626254,0.09131556319862424,0.016222413298939524,0.1705359701920321,0.10799656061908856,04
05001,117,35,5,48,37,287,34.2375,22.725,13.4125,33.95,38.0625,0.5180060213061602,0.4076655052264808,0.12195121951219512,0.017421602787456445,0.1672473867595819,0.1289198606271777,05
05003,160,46,11,80,69,427,35.5,24.2429,13.5143,36.0429,39.1857,0.2818445853832019,0.3747072599531616,0.10772833723653395,0.02576112412177986,0.1873536299765808,0.16159250585480095,05
05005,426,81,13,172,65,903,29.9556,20.2111,13.2222,30.2111,33.0222,0.2093951489100399,0.4717607973421927,0.08970099667774087,0.014396456256921373,0.19047619047619047,0.07198228128460686,05
05007,5111,1075,217,2038,864,11314,24.9408,17.6224,17.2041,31.0673,30.0327,0.4469355309691444,0.45174120558599967,0.0950150256319604,0.019179777267102703,0.18013081138412587,0.07636556478698957,05
05009,504,65,13,191,47,1006,30.8143,22.5571,14.9143,34.8429,37.6429,0.2803157052447806,0.5009940357852882,0.06461232604373758,0.012922465208747515,0.18986083499005965,0.04671968190854871,05
05011,102,36,5,37,32,253,34.76,22.72,12.94,36.54,42.84,0.5294231513743709,0.4031620553359684,0.1422924901185771,0.019762845849802372,0.14624505928853754,0.12648221343873517,05
05013,16,9,0,10,4,51,32.25,23.05,13.95,35.0,37.65,0.6549925484351714,0.3137254901960784,0.17647058823529413,0.0,0.19607843137254902,0.0784313725490196,05
05015,856,97,16,394,102,1798,29.62,20.7,14.18,28.82,35.84,0.2403034512234213,0.4760845383759733,0.053948832035595105,0.008898776418242492,0.21913236929922136,0.05672969966629588,05
05017,108,26,4,38,32,311,39.6,25.575,11.6,39.45,47.175,0.4225785196573687,0.34726688102893893,0.08360128617363344,0.012861736334405145,0.12218649517684887,0.10289389067524116,05
05019,527,118,24,193,132,1173,27.68,18.22,15.76,33.04,35.44,0.2648836703631224,0.4492753623188406,0.10059676044330776,0.020460358056265986,0.16453537936913895,0.11253196930946291,05
05021,96,21,4,37,15,213,32.5667,23.9667,13.9333,32.3333,39.2,0.2188187510577086,0.4507042253521127,0.09859154929577464,0.018779342723004695,0.17370892018779344,0.07042253521126761,05
05023,166,41,8,70,35,377,30.8857,21.1,13.4571,33.2143,37.2571,0.2258048415273272,0.4403183023872679,0.10875331564986737,0.021220159151193633,0.1856763925729443,0.09283819628647215,05
05025,42,5,1,12,10,89,33.15,23.45,14.45,35.6,38.6,0.2209690413166072,0.47191011235955055,0.056179775280898875,0.011235955056179775,0.1348314606741573,0.11235955056179775,05
05027,417,137,27,177,159,1136,33.72,22.84,12.86,35.36,40.12,0.1952997719126751,0.3670774647887324,0.12059859154929578,0.023767605633802816,0.15580985915492956,0.13996478873239437,05
05029,202,71,6,101,79,559,30.9,23.1167,14.55,33.8833,38.3333,0.2532967328704451,0.3613595706618962,0.12701252236135957,0.01073345259391771,0.1806797853309481,0.1413237924865832,05
05031,2695,627,93,1006,509,5955,29.1529,21.4647,15.5647,34.1588,38.9706,0.3966720654018201,0.45256087321578503,0.1052896725440806,0.015617128463476071,0.16893366918555835,0.08547439126784215,05
05033,615,126,19,214,105,1298,31.4455,24.2364,14.7545,35.1,36.1636,0.431526694357208,0.47380585516178736,0.0970724191063174,0.014637904468412942,0.16486902927580893,0.08089368258859785,05
05035,578,191,46,235,158,1459,36.005,24.78,12.915,39.525,48.375,0.2591462725690913,0.3961617546264565,0.13091158327621658,0.031528444139821796,0.16106922549691569,0.10829335161069226,05
05037,282,49,5,128,58,649,35.15,24.5333,13.4667,35.9667,41.0167,0.3434822723078951,0.4345146379044684,0.07550077041602465,0.007704160246533128,0.19722650231124808,0.08936825885978428,05
05039,49,20,2,25,22,139,35.1667,22.5667,12.6,34.1667,39.4667,0.5197141448989651,0.35251798561151076,0.14388489208633093,0.014388489208633094,0.17985611510791366,0.15827338129496402,05
05041,135,47,7,63,75,413,39.28,26.56,11.82,39.96,45.66,0.4245624622812311,0.3268765133171913,0.11380145278450363,0.01694915254237288,0.15254237288135594,0.18159806295399517,05
05043,251,67,6,84,64,579,34.14,21.72,13.82,35.9,41.48,0.294458720432233,0.43350604490500866,0.1157167530224525,0.010362694300518135,0.14507772020725387,0.11053540587219343,05
05045,3949,849,147,1744,757,8928,26.748,20.584,16.192,36.864,34.592,0.5434159328281793,0.4423163082437276,0.09509408602150538,0.01646505376344086,0.1953405017921147,0.08478942652329749,05
05047,116,19,4,40,20,248,33.8333,24.7667,14.6333,33.9333,36.6333,0.0782881966910065,0.46774193548387094,0.07661290322580645,0.016129032258064516,0.16129032258064516,0.08064516129032258,05
05049,13,4,0,2,3,28,33.8,24.5,12.95,32.7,38.2,0.1390771743568803,0.4642857142857143,0.14285714285714285,0.0,0.07142857142857142,0.10714285714285714,05
05051,2418,356,68,981,370,5086,31.615,21.395,12.96,32.735,31.46,0.3296261934680743,0.47542272906016514,0.06999606763664963,0.013370035391270154,0.19288242233582384,0.07274872198191112,05
05053,113,20,1,44,21,237,28.45,21.925,15.675,34.3,37.775,0.3548423234190332,0.4767932489451477,0.08438818565400844,0.004219409282700422,0.18565400843881857,0.08860759493670886,05
05055,373,121,18,150,83,934,29.9889,23.8444,14.9333,32.5444,39.7444,0.2135030842464017,0.3993576017130621,0.12955032119914348,0.019271948608137045,0.16059957173447537,0.08886509635974305,05
05057,200,50,12,95,54,514,35.08,23.16,13.82,36.5,41.24,0.3158919014551727,0.38910505836575876,0.09727626459143969,0.023346303501945526,0.18482490272373542,0.10505836575875487,05
05059,172,44,7,60,47,404,33.5286,23.5714,14.7286,35.2429,37.1571,0.3238519804323812,0.42574257425742573,0.10891089108910891,0.017326732673267328,0.1485148514851485,0.11633663366336634,05
05061,135,27,12,63,38,342,33.6,22.4333,13.9,34.7667,40.9,0.3478134745086663,0.39473684210526316,0.07894736842105263,0.03508771929824561,0.18421052631578946,0.1111111111111111,05
05063,409,107,21,163,103,950,30.2875,21.675,14.45,33.4375,36.6,0.1744749596122778,0.4305263157894737,0.11263157894736842,0.022105263157894735,0.17157894736842105,0.10842105263157895,05
05065,42,11,1,16,11,92,31.2,22.1,13.3,33.825,36.925,0.0165549862041781,0.45652173913043476,0.11956521739130435,0.010869565217391304,0.17391304347826086,0.11956521739130435,05
05067,84,36,3,39,24,240,35.72,27.38,14.04,35.8,39.88,0.2743790631771962,0.35,0.15,0.0125,0.1625,0.1,05
05069,1153,338,76,430,343,2884,35.45,23.9167,12.1417,40.8292,45.8375,0.3071033083693049,0.3997919556171983,0.11719833564493759,0.026352288488210817,0.14909847434119278,0.11893203883495146,05
05071,348,131,13,163,137,952,34.05,25.1667,14.4333,32.75,40.2833,0.2725920125293657,0.36554621848739494,0.13760504201680673,0.01365546218487395,0.17121848739495799,0.14390756302521007,05
