FIPS,LAPOP1_10,Pop2010,diet_prevalence
17099,30203.0,91085,0.33159137069769995
17101,3861.0,16833,0.22937087863126002
17103,6819.0,27272,0.2500366676444705
17105,6314.0,33219,0.19007194677744665
17107,7879.0,26313,0.2994337399764375
17109,9739.0,32612,0.2986324052496014
17111,136739.0,230998,0.5919488480419743
17113,52063.0,129699,0.40141404328483643
17115,39870.0,95714,0.41655348224920075
17117,6053.0,27450,0.22051001821493624
17119,112469.0,219557,0.5122542209995582
17121,9952.0,30448,0.3268523384130321
17123,1665.0,7177,0.23199108262505225
17125,5225.0,12270,0.4258353708231459
17127,1315.0,15429,0.08522911400609243
17129,1698.0,12705,0.13364817001180637
17131,3746.0,11855,0.3159848165331084
17133,12335.0,21622,0.5704837665340856
17135,4765.0,27613,0.17256364755730996
17137,13689.0,35547,0.38509578867414973
17139,375.0,14846,0.02525932911221878
17141,7624.0,28346,0.2689621110562337
17143,63829.0,138935,0.4594162737970994
17145,5146.0,12180,0.42249589490968803
17147,1658.0,16729,0.09910933110167972
17149,3910.0,16430,0.23797930614729154
17151,1301.0,4470,0.2910514541387025
17153,1936.0,6161,0.31423470215874044
17155,8.0,3029,0.002641135688345989
17157,4790.0,24882,0.19250864078450286
17159,1036.0,16233,0.06382061233290211
17161,24730.0,102836,0.24047998755299702
17163,99256.0,194617,0.5100068339353705
17165,3557.0,22289,0.15958544573556463
17167,50465.0,129806,0.38877247584857405
17169,1284.0,7544,0.1702014846235419
17171,3562.0,5355,0.665172735760971
17173,4790.0,22363,0.2141930867951527
17175,3752.0,5994,0.6259592926259593
17177,3114.0,31385,0.09921937231161383
17179,53222.0,95509,0.5572459139976337
17181,1401.0,13549,0.10340246512657761
17183,18701.0,60269,0.3102921900147671
17185,1917.0,11947,0.16045869255880138
17187,1595.0,15004,0.1063049853372434
17189,1733.0,10921,0.15868510209687758
17191,4215.0,16760,0.251491646778043
17193,1251.0,14665,0.08530514831230822
17195,12465.0,42176,0.29554723065250377
17197,301286.0,544871,0.5529492301847593
17199,21431.0,45945,0.466449015126782
17201,78002.0,186314,0.41865882327683374
17203,12593.0,22995,0.5476407914764079
18001,6024.0,16520,0.3646489104116223
18003,134372.0,275675,0.4874290378162692
18005,27972.0,72624,0.3851619299405155
